# Teff=  4000 K   Age= 1.0 Myr   M*= 0.70 Mo   R*= 2.64 Ro 
# 
# Rdisk=  300 AU         Rhole= 11.0 R* 
# Mdot= 1.0e-07 Mo/yr    alpha= 0.010      Mass= 0.410  Mo  
# p= 3.5                 amin=0.005 mu     amax= 10 mu 
# 
# log(R)       log(Tphot)   log(Tc)      log(Tirr)    log(To)      log(Tvis)    log(Sigma)   log(H)       log(Ztauss)  log(Zinf)    log(tau_r)
# 
 -8.6800e-01   2.8024e+00   3.1629e+00   2.6809e+00   3.0803e+00   2.7540e+00   3.5554e+00  -2.3765e+00  -1.7909e+00  -1.4983e+00   1.7502e+00 
 -8.2517e-01   2.7710e+00   3.1611e+00   2.6595e+00   3.0461e+00   2.7241e+00   3.5022e+00  -2.3130e+00  -1.7255e+00  -1.4766e+00   1.8674e+00 
 -7.8228e-01   2.7455e+00   3.1596e+00   2.6386e+00   3.0145e+00   2.6941e+00   3.4484e+00  -2.2497e+00  -1.6673e+00  -1.4713e+00   1.9860e+00 
 -7.3942e-01   2.7128e+00   3.1578e+00   2.6170e+00   2.9284e+00   2.6639e+00   3.3943e+00  -2.1861e+00  -1.6136e+00  -1.4119e+00   2.0979e+00 
 -6.9640e-01   2.6801e+00   3.1559e+00   2.5960e+00   2.9040e+00   2.6335e+00   3.3399e+00  -2.1225e+00  -1.5591e+00  -1.3604e+00   2.2138e+00 
 -6.5363e-01   2.6515e+00   3.1541e+00   2.5749e+00   2.8797e+00   2.6030e+00   3.2857e+00  -2.0593e+00  -1.5068e+00  -1.3093e+00   2.3276e+00 
 -6.1075e-01   2.6263e+00   3.1523e+00   2.5534e+00   2.8587e+00   2.5725e+00   3.2316e+00  -1.9958e+00  -1.4533e+00  -1.2572e+00   2.4440e+00 
 -5.6776e-01   2.5986e+00   3.1504e+00   2.5319e+00   2.8442e+00   2.5417e+00   3.1779e+00  -1.9322e+00  -1.4008e+00  -1.2034e+00   2.5578e+00 
 -5.2486e-01   2.5695e+00   3.1486e+00   2.5102e+00   2.8298e+00   2.5109e+00   3.1254e+00  -1.8689e+00  -1.3503e+00  -1.1500e+00   2.6738e+00 
 -4.8207e-01   2.5380e+00   3.1467e+00   2.4883e+00   2.8154e+00   2.4802e+00   3.0749e+00  -1.8055e+00  -1.3002e+00  -1.0970e+00   2.7895e+00 
 -4.3913e-01   2.5103e+00   3.1446e+00   2.4663e+00   2.8011e+00   2.4493e+00   3.0271e+00  -1.7423e+00  -1.2502e+00  -1.0441e+00   2.9059e+00 
