# Teff=  4000 K   Age= 10.0 Myr   M*= 0.80 Mo   R*= 1.16 Ro 
# 
# Rdisk=  300 AU         Rhole= 11.0 R* 
# Mdot= 1.0e-08 Mo/yr    alpha= 0.010      Mass= 0.061  Mo  
# p= 3.5                 amin=0.005 mu     amax= 100 mu 
# 
# log(R)       log(Tphot)   log(Tc)      log(Tirr)    log(To)      log(Tvis)    log(Sigma)   log(H)       log(Ztauss)  log(Zinf)    log(tau_r)
# 
 -1.2251e+00   2.8248e+00   3.1581e+00   2.6025e+00   3.0824e+00   2.7864e+00   3.1264e+00  -2.9436e+00  -2.3841e+00  -2.0712e+00   1.6020e+00 
 -1.1777e+00   2.7880e+00   3.1559e+00   2.5801e+00   3.0445e+00   2.7533e+00   3.0682e+00  -2.8734e+00  -2.3231e+00  -2.0459e+00   1.7282e+00 
 -1.1301e+00   2.7570e+00   3.1538e+00   2.5574e+00   3.0099e+00   2.7199e+00   3.0097e+00  -2.8032e+00  -2.2639e+00  -2.0399e+00   1.8556e+00 
 -1.0827e+00   2.7208e+00   3.1517e+00   2.5347e+00   2.9156e+00   2.6865e+00   2.9517e+00  -2.7330e+00  -2.2070e+00  -1.9705e+00   1.9823e+00 
 -1.0353e+00   2.6868e+00   3.1495e+00   2.5125e+00   2.8879e+00   2.6528e+00   2.8946e+00  -2.6631e+00  -2.1499e+00  -1.9153e+00   2.1090e+00 
 -9.8778e-01   2.6565e+00   3.1474e+00   2.4900e+00   2.8615e+00   2.6190e+00   2.8390e+00  -2.5929e+00  -2.0942e+00  -1.8597e+00   2.2361e+00 
 -9.4040e-01   2.6232e+00   3.1449e+00   2.4673e+00   2.8443e+00   2.5852e+00   2.7864e+00  -2.5230e+00  -2.0391e+00  -1.8013e+00   2.3622e+00 
 -8.9289e-01   2.5893e+00   3.1424e+00   2.4443e+00   2.8272e+00   2.5512e+00   2.7382e+00  -2.4531e+00  -1.9841e+00  -1.7432e+00   2.4883e+00 
 -8.4543e-01   2.5556e+00   3.1389e+00   2.4212e+00   2.8101e+00   2.5171e+00   2.6969e+00  -2.3835e+00  -1.9309e+00  -1.6852e+00   2.6114e+00 
 -7.9789e-01   2.5240e+00   3.1329e+00   2.3980e+00   2.7905e+00   2.4827e+00   2.6650e+00  -2.3152e+00  -1.8784e+00  -1.6279e+00   2.7252e+00 
